text,label_str,label
these tiktoks radiate gay chaotic energy and i love it,Non_hope_speech,0
again he got killed for using false money,Non_hope_speech,0
its not that all lives dont matter,Non_hope_speech,0
is it really that difficult to understand black lives matter and all lives matter are not mutually exclusive they are both true as general statements so are white lives matter and asian lives matter black lives matter in this context is simply the name of a movement against the strangely high rate of police violence on black people and the statement is referring to those who behave like and treat black people as if they dont matter for example,Non_hope_speech,0
whenever we say black isnt that racists why dont just say americans,Non_hope_speech,0
ros the boss u dont know that shes actually lgbtq tho so,Non_hope_speech,0
that was funny at the end when larry said what are we arguing about then haha but that said,Non_hope_speech,0
she saves lives with her music,Non_hope_speech,0
there were a lot of samoans in my army unit,Non_hope_speech,0
network engineer here 23 and currently working as an instructor teaching men and women looking to be in it next i want to teach at a university,Hope_speech,1
there is justice for the natives the government literally pays us,Non_hope_speech,0
shes in the closet,Non_hope_speech,0
injustice is the way the world works a millionaire paying someone a few dollars to wash his car is injustice,Non_hope_speech,0
gray the prime minister of holland,Non_hope_speech,0
madonna wouldnt be here if her mother had her attitude,Non_hope_speech,0
just tea all lives are equal is the same thing as all lives matter,Non_hope_speech,0
the tech industry is tough for everyone most people are pushed hard and treated like garbage,Non_hope_speech,0
why does blm only come around every 4 years,Non_hope_speech,0
funny thing is,Non_hope_speech,0
im still hiding my gender to my parents and they dont know im dating someone my friends knows already about my gender and they are very supportive of it and im very thankful to find true friends like them,Hope_speech,1
all lives matter without that we never have peace so to me forever all lives matter,Hope_speech,1
clark thank you i salute you,Non_hope_speech,0
brown it makes it seem like my opinion doesnt matter when someone gets attacked for holding a all lives matter sign,Non_hope_speech,0
yall talking lesbian but i think it more likely thats shell come out as trans,Non_hope_speech,0
france france i think youre the one being dumb its actually very simple did you not know all lives include black lives if you have a basic understanding of the english language you should understand that,Non_hope_speech,0
i love how people like you read a comment that goes against your agenda and spat instantly zero evidence when all you need to do is type we are trained marxists blm and boom there you go,Non_hope_speech,0
randomgirlwhosings0804 why does she feel the need to have to agree or not agree with someones sexuality why does any christian its really weird there is nothing for you to agree with,Hope_speech,1
the people who would normally be saying whu are all the disney princesses setting unrealistic standards for young girls are now saying that having a fat guy who happens to have darkish skin is racest the rock is the voice actor for the character and he seems to be fine with it next lets say big hero six is racest because it is slightly japanese and hero is fat sometimes its not like mr incredible who is white and sorta chubby got this kinda shit,Non_hope_speech,0
excatly do you know that in south korea in almost every school there they teach americans as racist,Non_hope_speech,0
