text,label
again he got killed for using false moneynon_hope_speech,1
its not that all lives dont matternon_hope_speech,1
is it really that difficult to understand black lives matter and all lives matter are not mutually exclusive they are both true as general statements so are white lives matter and asian lives matter black lives matter in this context is simply the name of a movement against the strangely high rate of police violence on black people and the statement is referring to those who behave like and treat black people as if they dont matter for examplenon_hope_speech,1
whenever we say black isnt that racists why dont just say americansnon_hope_speech,1
ros the boss u dont know that shes actually lgbtq tho sonon_hope_speech,1
that was funny at the end when larry said what are we arguing about then haha but that saidnon_hope_speech,1
she saves lives with her musicnon_hope_speech,1
there were a lot of samoans in my army unitnon_hope_speech,1
network engineer here 23 and currently working as an instructor teaching men and women looking to be in it next i want to teach at a universityhope_speech,1
there is justice for the natives the government literally pays usnon_hope_speech,1
shes in the closetnon_hope_speech,1
injustice is the way the world works a millionaire paying someone a few dollars to wash his car is injusticenon_hope_speech,1
gray the prime minister of hollandnon_hope_speech,1
madonna wouldnt be here if her mother had her attitude non_hope_speech,1
just tea all lives are equal is the same thing as all lives matternon_hope_speech,1
the tech industry is tough for everyone most people are pushed hard and treated like garbagenon_hope_speech,1
why does blm only come around every 4 yearsnon_hope_speech,1
funny thing isnon_hope_speech,1
im still hiding my gender to my parents and they dont know im dating someone my friends knows already about my gender and they are very supportive of it and im very thankful to find true friends like themhope_speech,1
all lives matter without that we never have peace so to me forever all lives matterhope_speech,1
clark thank you i salute younon_hope_speech,1
brown it makes it seem like my opinion doesnt matter when someone gets attacked for holding a all lives matter signnon_hope_speech,1
yall talking lesbian but i think it more likely thats shell come out as transnon_hope_speech,1
france france i think youre the one being dumb its actually very simple did you not know all lives include black lives if you have a basic understanding of the english language you should understand thatnon_hope_speech,1
i love how people like you read a comment that goes against your agenda and spat instantly zero evidence when all you need to do is type we are trained marxists blm and boom there you gonon_hope_speech,1
randomgirlwhosings0804 why does she feel the need to have to agree or not agree with someones sexuality why does any christian its really weird there is nothing for you to agree withhope_speech,1
the people who would normally be saying whu are all the disney princesses setting unrealistic standards for young girls are now saying that having a fat guy who happens to have darkish skin is racest the rock is the voice actor for the character and he seems to be fine with it next lets say big hero six is racest because it is slightly japanese and hero is fat sometimes its not like mr incredible who is white and sorta chubby got this kinda shitnon_hope_speech,1
excatly do you know that in south korea in almost every school there they teach americans as racistnon_hope_speech,1
the big ones stop ruling when the small ones stop crawlingnn2020 the year of the modern revolutionnon_hope_speech,1
i think at that timenon_hope_speech,1
about performing at eurovision in tel avivnon_hope_speech,1
is it wrong i laughed when he said beaten with the biblenon_hope_speech,1
all im gunna say is i was presbyterian and didnt agree with homosexuality before i came out non_hope_speech,1
thank you madonna for everything youve helped me grow up as a kid in west philadelphia you inspired me greatly much respect and love queen of pop non_hope_speech,1
when youve turnoff the reasonable peoplenon_hope_speech,1
rightthats what he said you have it all rightnon_hope_speech,1
she is not 60 he is 60non_hope_speech,1
s the tea sis and thats the teanon_hope_speech,1
white lives matter is considered racist as hell so why isnt black lives matter racist alsonon_hope_speech,1
the whole thing is a jokelol all black lives matterand the democrats are laughing at the suckers following them down the path to socialismcrush black lives matter all lives matter its a political move by the democratic socialist partymaga the media is telling and showing you what the dems want them toexcept fox newsgood jobnon_hope_speech,1
sunshine littlephilly i cant even imagine how your thought process works do you not have the capability to shape your own opinion especially on a topic that does in fact hurt homosexual people whether you believe they should be harmed or not has nothing to do with it when you publicly state a person is wrong for just living their lifenon_hope_speech,1
but sadism isnt evil is it unless youre sadistic to unwilling participants alot whats considered evil now a days depends actually more or less on your perspectiv of what happens if i were to hit a dognon_hope_speech,1
and short short hairnon_hope_speech,1
no im black and im upset by what ive seen it does nobody any goodnon_hope_speech,1
it doesnt matter what your family does when you want to make a career for yourself what matters is what you can or will do youre in no better position then the one who comes from a poor family and also wanting to be a video game developerhope_speech,1
all lives matter every life fucking mattersnon_hope_speech,1
i thought i was watching a recent video but this is 4 years ago but here we are again and the same thing is going to happennon_hope_speech,1
where has this sheriff beennon_hope_speech,1
the media and crooked politicians whipped this up we have to get rid of the lot of them with the ballotnon_hope_speech,1
