text,label
വാങ്ങിയത് എന്ത് കുന്തം ആയാലും കളയാൻ പറ്റില്ലല്ലോ ഇനി വാങ്ങാതിരിക്കാൻ ശ്രദ്ധിക്കുക Jai IndiaNon_hope_speech,1
മാറുമറയ്ക്കാൻ നടത്തിയ സമരം ഒരു previlege issue ആയിരുന്നുഅത് ഈ വിഷയവുമായി കമ്പയർ ചെയ്യാൻ പറ്റില്ലതാങ്കൾ പറഞ്ഞത് തെറ്റാണ്സാധാരണ വേഷം അണിഞ്ഞാൽ പോലും നോക്കി കൊല്ലുന്ന നാട്ടുകാർ ഉള്ളയിടത്തു ഫെമിനിസത്തിന് വസ്ത്രത്തെക്കുറിച്ചു സംസാരിക്കേണ്ടി തന്നെ വരുംHope_speech,1
ഇഷാനെ കൂടുതല് കെട്ടിപിടിക്കേണ്ട ഞങ്ങൾക്കറിയാം ഇഷാന് സൂര്യയോട് ഇച്ചിരി കൊഞ്ചൽ കൂടുതലാണെന്ന്Non_hope_speech,1
ഇന്ത്യ ഇസ്ലാമിക രാജ്യമല്ല ഇന്ത്യൻ ഭരണഘടന മാത്രമേ ഇന്ത്യൻ പൗരന്മാർ നോക്കേണ്ടതുളൂ ഇന്ത്യൻ നിയമ പ്രകാരം പ്രായപൂർത്തിയായ രണ്ടുപേർക്ക് പരസ്പരം സമ്മതത്തോടെ ഒന്നിച്ചു കഴിയാൻ ഒരു തടസവും ഇല്ലHope_speech,1
Xenderin pakaram okke entha ubayokhikkukaNon_hope_speech,1
ചൈനയുടെ കാര്യം അവര് നോക്കട്ടെ nഇന്ത്യയിൽ പെട്രോളിന് ദിവസവും വിലക്കുട്ടി കൊണ്ടിരിക്കുകയാണ് അതിനെതിരെ പ്രതികരിക്കാൻ നോക്Non_hope_speech,1
Dev സോറി ഇപ്പഴാ മനസിലായത്Non_hope_speech,1
നിങ്ങൾക് നല്ലത് വരുംHope_speech,1
ഇതിന്റയൊക്കെ റേറ്റിംഗ് കൊറക്കാൻ vellaa വഴിയുണ്ടോ nTick tock ne കിട്ടിയതുപോലെNon_hope_speech,1
Avare manasil rand pearkum purushanodaanu atracshan allaade avrod chodikarud ningalil aaraanu wifennu avare ullu manasilaakoo avar thiranjeduthad betterHope_speech,1
കട്ട വെയ്റ്റിംഗ് ഫോർ 1മില്യൺ Non_hope_speech,1
ഒത്തുകളിക്ക് അഭിനന്ദനങ്ങൾ ആരെങ്കിലും പറയുമോ Non_hope_speech,1
അവൻ താമസിച്ചപ്പോൾNon_hope_speech,1
Kevin enthinaaaa padichenVattanNon_hope_speech,1
ഹോമോ സാപിയൻ HOMOSAPIENS bstNon_hope_speech,1
Kevin കൂടുതൽ പഠിക്കാൻ ഉണ്ട് Non_hope_speech,1
Suryamma enne onnu help cheyyan pattumo aake budhimuttila kazhiyumenkil ende numberil onnu vilikko 9645309364Non_hope_speech,1
ഒരുപാട് വിലപ്പെട്ട ഇൻഫർമേഷൻ ഡോക്ടറുടെ എല്ലാ വിഡിയോസും ഞങ്ങൾക്ക് എല്ലാവർക്കും വളരെയേറെ ഉപകാരപ്രദമാണ് നന്ദിയുണ്ട് ഇനിയും ഇത് പോലെയുള്ള വീഡിയോസ് പ്രതീക്ഷിക്കുന്നുn ഈശ്വരൻ അനുഗ്രഹിക്കട്ടെHope_speech,1
ലോകാവസാനം അടയാളം ഇതിനെ ഒക്കെ കാണുമ്പോൾ അതാ ഓർമ വരുന്നേ ShameNon_hope_speech,1
24 പ്രതേകം ശ്രെദ്ധിക്കണം കെവിനേ പോലുള്ളവരെ ചർച്ചക്ക് വിളിക്കും പോൾ കെവിൻ പറയുന്നത് എന്താണ് എന്ന് അദ്ദേഹത്തിന് പോലും അറിയില്ല കണ്ടിരിക്കുന്നവർക്കും കെവിൻ പറയുന്ന ഒരു പിണ്ണാക്കും മനസിലാക്കുന്നില്ലNon_hope_speech,1
ഈ ലോകത്ത് എല്ലാവർക്കും ഫ്രീഡം ഉണ്ട്Non_hope_speech,1
Nourin sk yantukondNon_hope_speech,1
ഗേ ആയാൽ എങ്ങനെ തിരിച്ചറിയുംNon_hope_speech,1
ഒരു പാട് ആളുകൾക്ക് ഉണ്ടായ അനുഭവം ആണ് നികേഷ് പറഞ്ഞത് അനുഭവം ഉള്ളവർ പറയാൻ മടിക്കുന്നുHope_speech,1
കെവിൻ മോനെ എണീറ്റു പോടാ ഊളെഅൽപബുദ്ധിക്കാരാNon_hope_speech,1
Tik tok and pubgnotmalayalam,0
LGBTQIA nഇത് കൂടാതെ ഇനിയുമുണ്ട് Sexual OrientationNon_hope_speech,1
പറഞ്ഞതിൽ പലതും ശുദ്ധ മണ്ടത്തരങ്ങൾ ആണ്Non_hope_speech,1
നികേഷ് എന്നാ പൊളിയാHope_speech,1
Onnu kalajittu podaNon_hope_speech,1
Allah ne tunaNon_hope_speech,1
നൂറുശതമാനവും ഇറക്കുമതിയിലെ ആശ്രയിക്കുന്ന വൻ വികസിത രാജ്യങ്ങളും കൂടി ഉണ്ട് ഉദാഹരണം ദുബായ് സ്വിറ്റ്സർലാൻഡ് അറബ് രാഷ്ട്രങ്ങൾ എന്നാൽ ഇറക്കുമതിയിൽ ഇല്ലാഞ്ഞിട്ടും ദരിദ്ര രാഷ്ട്രങ്ങൾ ഉണ്ട് ഉദാഹരണം ഇറക്കുമതി പറഞ്ഞ ആഫ്രിക്കൻ രാജ്യങ്ങൾ ഇവയെ കുറിച്ച് ഒരു വീഡിയോ ചെയ്താൽ നന്നായിരിക്കും അതായത് ഇറക്കുമതിയും കയറ്റുമതിയും ഇറക്കുമതിയുംNon_hope_speech,1
ആരാന്റെ ബെഡ് റൂമിൽ ഒളിഞ്ഞു നോക്കി കമന്റ് ഇടാൻ നാണക്കേട് തോന്നുന്നില്ലേ ഊള കാക്കാNon_hope_speech,1
Xsebder nan deletedNon_hope_speech,1
Chettante number thaaroNon_hope_speech,1
ഞാൻ എല്ലാ പച്ചക്കറികളും സോപ്പ് ഇട്ട് കഴുകി ആണ് ഫ്രിഡ്ജ് ലോക്കെ വെക്കുന്നത് പാക്കറ്റ് സാധനങ്ങൾ മുൻകൂട്ടി വാങ്ങി വെച്ച് അഞ്ചോ ആറോ ദിവസം കഴിഞ്ഞ് ഉപയോഗിക്കുന്നുNon_hope_speech,1
Rider vegetables and groceries okke kondu vannu udane use cheytirunnoNon_hope_speech,1
Kurach vyras sarirathil kayariyal adutha divasam peruki kuduthalavileNon_hope_speech,1
Ee kottitta aalu enthuva parayunneNon_hope_speech,1
Benjamin sexuality ബുദ്ധിയുള്ളവർക്കും ഇല്ലാത്തവർക്കും ഉള്ള കാര്യമാണ്Non_hope_speech,1
Bro pubg ban ആകുമോNon_hope_speech,1
Bhaskar madam dr aanoNon_hope_speech,1
Dev ഗേ ആണോNon_hope_speech,1
