text_clean,label
Agar aisi baat hai Na to jo bhi mobile mein video video ke kuchh paise nahin aane chahie agar main kya bol raha hun ki agar Teri jaanta itna hua hai to,not hope
Hhhhhhh 😂😂😂😂😂,not hope
Jaiho Tirangay ki,hope
Sab se bara jhutha modi,not hope
"Modi like Netanyahu has dissolved absolute hatred for Muslims in his people so when they kill them,their sense of RIGHT and WRONG is abolished.",not hope
Good night sir PM modi ji ❤❤❤❤❤❤❤❤❤ jai shree ram ram ram ram ram ram ram ram ram,hope
Modi ji modil bad karvao,not hope
Maananiy Modiji jindabad,hope
💁🤼🤼🤼🤼💁🤼🤼🤼🤼🤼💁💁🤼🙋🇮🇳🙋😵💔😵,not hope
THERE IS NO RELIGEON CALLED 👉HINDU👈 BRAMHINISM IS 👉OF THE BRAMHINS👈 👉BY THE BRAMHINS👈 AND 👉FOR THE BRAMHINS👈 GODS CAN BE ANY AND MANY BUT POOJARI OUGHT TO BE 👉ONLY BRAMHINS👈,not hope
Modiji You need to regulate bollywood And hindi shows especially hindi serials They depict hindu families as evil and cruel Tilak wearing peolle as evil or clowns This is subtle deviation to brainwash indians,not hope
Jay hind,hope
Teri dai 14 tu Desh ka mantri hai pradhanmantri hai hamara Bharat mein hinsa paida karke mara to jakar apna dahini choda tha Pakistan ko aur 50 border ko uda dena tha uska paar ka,not hope
29 amazing👍# butiy jmen Sibovile liy piprahi prvt inbya long en open the world ac rebeng jmen Sibovile liy,not hope
vote ki power ...wah..mere loin...,not hope
Har har Modi Ghar ghar Yogi ji,hope
Stupid modi,not hope
thanks pm modi ji,hope
Modiji❤❤❤,hope
Good night sir PM modi ji ❤❤❤❤❤❤❤❤❤ jai shree ram ram ram ram ram ram ram ram ram,hope
P.M.Modi ji zindabad ❤️ 🙏,hope
😮😢🎉😂❤❤❤❤❤❤❤,not hope
Hindustaan jindabad,hope
The Man who speaks and Did his Job very well....this is not Congress This is BJB.....,not hope
SIR APKO RAMPUR KA MAKA NO 323 RAFAT SCHOOL JWALA NAGAR RAMPUR UTTAR PRADESH INDIA CHAHIYE THA VISHWAS NHI HOTA SAB KUCH APKA HITO THA SIR,not hope
Kuta dor sa bonqata ha gudar 😅,not hope
Bhagirath jhooth bole modi kutta 0:44,not hope
Sarkar ko chahiye hinduo ko hatyar issue karo apni suraksha ke liye,not hope
🧠🗣️💥👩‍👩‍👦👈🏼👀🤦🏿🤳🏿🤷🏼🧎🏿👩‍👩‍👧‍👦👨‍👩‍👦👩‍👩‍👧👩‍👩‍👧👨‍👩‍👧‍👧👨‍👩‍👦‍👦👨‍👩‍👧‍👦👨‍👩‍👧‍👦👨‍👩‍👧‍👦👨‍❤️‍💋‍👨🤷🏻,not hope
JAMIA MILLIA ISLAMIA NEW DELHI INDIA UNDERWATCH OF MADAM MELONIA TRUMP ENTIRELY DIFFERENT TYPES AND SAMEER ANAND URF SETU BHAIYA TAUJI KE BETE AAP ISS JANE KE TAYARI KARIYE APKO PMNARENDRAMODIJI KI GUIDANCE MEIN AKELE DARK ROOM MEIN BETHKR OUTER SPACE KI SHAITANI ROOHANI EVILS SPIRAL SE BAAT KRNI HAI❤,not hope
aarti sy over oven,not hope
👑🤝✝️👍⛪⚓🇲🇲🇲🇲🇲🇲🇲🇲🤝,not hope
Juth,not hope
Man of words 🇮🇳🫡,hope
Mujhe India,not hope
Modi Gi 6-0 me aza Aya 😂😂😂,not hope
1 woh pm the jo 26/11 ke baad rote the. 1 humare mahan modi ji he jo dushman ka sina uske ghar me ghus ke cheer dete he.Jai jawan jai kisan jai modi,hope
Goomutar pinywalaaa,not hope
Mnafee❤,not hope
ParamAadarniy Dr. Mahesh Sharma Mantriji jindabad,hope
Maniye Mantri Shiri Kirishna Gaur DidiJi Jibdabad 👏👏,hope
Barking dogs never bite...Pakistan Zinda bad,not hope
Modi ji we love you❤ you are our father 🎉 I WISH U GOOD HEALTH N IMMENSE STRENGTH 🎉❤,not hope
"It’s a disgrace they tried to bully Pakistan on false claims based on their imagination without any evidence. Modi can’t be forgiven, many innocent people died in both countries just because of him.",not hope
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🌺🌺🌼🌺🌺🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 Bharatvarsh ki Jay,hope
Challl oi,not hope
Hamara Bharat ka beti ne mara beta maarta tha aur gand Lal ho jata Pakistan ka,not hope
"Very nice speech,this is the real spirit of pm.",hope
War against worldwide terrorism Sir. Cooperation of the Nations of the world. Cooperation of UN member states. Possible zero terrorism on the Earth sir.,hope
Kitne dogle ho galat news chala te ho ai se bana ke apne nikame fojion ki kamal ki video baana ke dekhate ho but Pakistan ne kya maza chakhaya hai 😂😂,not hope
Seeking like a dog😂😂😂😂,not hope
He is the terrorist who did this for votes,not hope
Tune hi to murder karwaya hai be Modi hijde ki Aulaad Ab baat palat Raha hai mai sab thik kar dunga pulwama attack ka kya hua modi ne hi marwaya hai 400 kg RDX KAHA SE aya be modi,not hope
MERA BHAI SUNY SAKSHI SAXENA KA HAI VO GHAR VO GHAR AP CHOR DIJIYEGA APKI BADI MEHRBANI HOGI,not hope
"One thing i will say.. All this money, hustling , entertainment, ipl, Bollywood, everything is zero without a strong defence system.. Indias safety is in danger.. better we realise that as soon as possible",hope
🙏🙏🙏🙏🙏ಜೈ ಮೋದಿಜಿ.,hope
"It’s a disgrace they tried to bully Pakistan on false claims based on their imagination without any evidence. Modi can’t be forgiven, many innocent people died in both countries just because of him.",not hope
Donal Trump a friend of India 😂😂😂,not hope
Modi Wave to talk to you so,not hope
Buy a toung scraper bruh,not hope
इंडिया 😊,hope
