text,label_str,label
God gave us a choice. My choice is to love,Hope_speech,1
this representing the collapse of the power of evil America.,Non_hope_speech,0
This video is awesome! I'm a 15 year old girl who will probably go into engineering at uni and can't wait!,Hope_speech,1
She has never been afraid to say these are my friends and I love them.nThis was well before it was fashionable to embrace the gays.nShe and Elizabeth Taylor were throwing millions of dollars towards AIDS research in the beginning,Hope_speech,1
No they are not. All lives matter,Hope_speech,1
These clowns are a joke,Non_hope_speech,0
Leviticus holds the rules for the Israelites. It's not saying they still apply today.,Non_hope_speech,0
Sheriff Clarke said it all in five syllables -- Lyndon B. Johnson.  Sorry they didn't let him explain ANY of it.  Listen to Candace Owens and she explains it all.  God love America's black community -- may we USE the current administration to lift ourselves up -- not elect a new one to dig us ALL deeper into this poor us / help us culture we're being pushed toward.  Good panel (except for Juan) -- wish Sean had let Sheriff Clarke say more.,Non_hope_speech,0
Hello! I read some of the comments on this video and got inspired to share my story too. I love in England and I am currently in my first year of college and I'm studying engineering. In my college there are four classes and I ended up in a class where there are 23 boys and I'm the only girl. It was really scary at first because I am already a very shy girl and I struggle with talking to new people sometimes,Hope_speech,1
+SeizmosnWhat our media spews and what the actual general population thinks and feels ain't even remotely close tho. The media is only representing the high upper class,Hope_speech,1
Angel S  You are very wise. Unfortunately,Non_hope_speech,0
M a girl nd is a Computer Engineering student... nd i love d fact dat my parents always wanted me to b an engineer... i played wid those blocks as young.. nd yes India may b a developing country... bt glad my parents didnt only picture guys as an engineer...,Hope_speech,1
i'm a woman.nThis is all nice and dardy,Hope_speech,1
I believe in humanity now.,Hope_speech,1
Now i want this toy. I really needed this pep Talk as i am going to be doing a second engineering drawing module.  I will work hard until i get it right,Hope_speech,1
Seriously people. Don't be so god damned quick to believe EVERYTHING that you read...... ESPECIALLY when we're talking about articles that are being google translated and quite often deliberately missquoted and/or misinterpreted.,Hope_speech,1
All lives matter all people matter all point of views matter all religions matter ..,Hope_speech,1
Trump really likes Israel.  At least he says he does!!,Hope_speech,1
Please take them all!,Non_hope_speech,0
Tyrone Marcus you are so stupid. you know that the section that says that a man should not lie with a man was translated wrong and meant to say not lie with a boy referring to pedophilia. and God loves everyone. you can't say he hates gays because he doesn't hate anyone. it called love the sinner hate the sin you dumbass. you are a hypocrite,Hope_speech,1
hi the comment was about love.... not about if it’s a sin or not. We are all sinners and god still calls us to love one another. Just because someone sins,Hope_speech,1
all lives matter .without that we never have peace so to me forever all lives matter.,Hope_speech,1
@Anna ._. hmm never thought of it that way you could be right I'll have to so some research but my point still stands it never says in the bible to hate anyone for any thing,Hope_speech,1
I just want to hug her here! She made me cry.. I like this Madonna. Very inspirational and strong woman,Hope_speech,1
It's racist to get upset when someone suggests that White,Non_hope_speech,0
I mean you can't really choose who you fall in love with... maybe she was just bi all along,Hope_speech,1
@xThisUsernameIsTakenNowx all lives matter,Hope_speech,1
I've been part of the poor population.. prison and Homeless...I got out of it all because I did not give up! And discrimination has occurred many times towards me..nTattoos,Non_hope_speech,0
Everyone saying she might be LGBTQ is it impossible for a girl to have short hair. Boi it's fashion sense.,Non_hope_speech,0
We all bleed the same. Stop with the Radical Fascist Liberal Left Political Pandering. ALL LIVES MATTER. We are all created by one true God in his image. We need to stop with all the hate. Period.,Hope_speech,1
Yeah.....that’s sacrilege considering what the ‘average’ so-called “God Fearing Christian” actually stands for,Non_hope_speech,0
To say black lives matter is divisive.  To say all lives matter is inclusive.,Hope_speech,1
@youshallnot pass thank you for this response bc yes some Catholics have done horrid things but that's not bc of Catholicism but bc they gave in to sin and they are bad people,Hope_speech,1
@Knowledge Because they have a big platform,Non_hope_speech,0
Thank You For All YOU'VE Done for Our Community.,Hope_speech,1
Black Lives Matter is a statement of DIVISION - ALL LIVES MATTER why because this not about skin is not the problem POVERTY is the problem and JOB and both these problem affects Black and Whites. By the way check the stats more WHITE men die in police custody than BLACK me. ALL LIVES MATTER full stop.,Hope_speech,1
PEOPLE matter.  We need to not care about skin color.  As MLK said,Hope_speech,1
I agree racism is aids. But tearing down the statue is utter bullshit. It’s not like people go there to admire him,Hope_speech,1
Came out and fought back because of her. New and ungrateful generation has no clue what she has done for us.,Hope_speech,1
No matter how you look at this they created a race war that will last for a long time.,Non_hope_speech,0
@samara k I agree with you 100% except I don't believe in God. I find it frustrating that a lot of people think that homosexuality is a sin,Hope_speech,1
No because they have real problems with the government oppressing them right now.,Non_hope_speech,0
Im a Doctor and people say arent u young for calling urself a dr,Hope_speech,1
@PepeThePoopyPants I believe women should have the freedom to work and vote and live as anyone else,Hope_speech,1
@brandonshmandon yeah totally let's paint the statues of heroes,Non_hope_speech,0
Inspiring talk! I'm glad I found this video,Hope_speech,1
Over the years I have found the only thing as good as a female engineer is another female engineer. I wish I would have had more of a pool to hire from. I have never regretted hiring them. You go Debbie! Send the world more.,Hope_speech,1
