text,label
I also dont have tiktok hello and allnBut Im using xiaomiHope_speech,1
Thalaivareneengale inum one plus mobile vachurukingaadha udachurungaNon_hope_speech,1
Annee varanda thondai corona virus affect pannum neenga pathukonga Pause koduth pasuga anne Thondaya varanda vidadhingaHope_speech,1
5views but 18likesNon_hope_speech,1
China phone vakathiga inu evanga ellam tiktok la video poduravagal nChina Phone vendam but China apps maittum use pannuvagaNon_hope_speech,1
Cisco webex meetings broNon_hope_speech,1
Yaaru madan gowriyaa ban panrenu sonnaaru Yaarukita solringaNon_hope_speech,1
Sabaash semma aarambamNon_hope_speech,1
modiji group all no 1 proker group stupid guyNon_hope_speech,1
காற்றில் பரவும் வாய்ப்பு உள்ளதுNon_hope_speech,1
Ovara aatuna oru naal atanki utkarathan pokapothu chinaNon_hope_speech,1
MrsSudha moorthy pathi pesungalenHope_speech,1
Bro Sony Mobile pathi video potunga broHope_speech,1
இருக்குற வேதனையில இது வேறவா வேறவா இறைவாNon_hope_speech,1
Nan ethuvum use pannalaNon_hope_speech,1
love u mg bye bye take carenotTamil,0
Wo ka baiNon_hope_speech,1
appo china kitta irukkiradhu sivappu panamaNon_hope_speech,1
Stop china mobilesNon_hope_speech,1
Hi solluga broHope_speech,1
Ingatha namalum irukomnFirst war start aachuna Srilanka namalatha adipaNon_hope_speech,1
நீங்க மக்கள செய்தி சொல்லி சாகடிப்ப அதுக்கு அவன் போதும்Hope_speech,1
யப்பா போதும்யா கடந்த 6 மாசமா பொழுது விடிஞ்சு பொழுது போனா அந்த நோய் வருது இந்த வைரஸ் வருது இப்படியே கேட்டுக்கேட்டு அம்புட்டு பேரும் சைக்கோவா திரியிறோம் விட்டுடுங்கப்பா எங்களை முடிஞ்சா விழிப்புனர்வு வீடியோ போடுங்க இல்லன்னா வேற எதாவது மேட்டர் பேசுங்க கொஞ்ச நாளைக்கு கொரோனாவுக்கு லீவு கொடுங்கப்பாNon_hope_speech,1
சீனாஏன் வல்லரசுஇருக்குது அதோடஉற்பத்தித் துறைதான் காரணம் அதைவிட தலைசிறந்த பொருள்களைஇந்தியாவை உருவாக்க அதனால்சீனப் பொருளாதாரத்தைநம்மால் வீழ்த்த சீன பொருட்களை சீன செய்தி பயன்படுத்தாமல் எந்த ஒரு பயனும் நம் நாட்டின்உற்பத்தித் துறையைஉலகத் தரத்திற்குஉருவாக்குவதுதான்இதற்குதகுந்ததுபல்லாயிரம் கோடி மக்கள் எங்கள்படித்தவர்கள் பலஅவர்களின் திறமையைஇங்கு உருவாக்கும் பொருட்களை உலகவிற்கலாம்அதனால்நாட்டின் பொருளாதாரம் உயரும்நாட்டு மக்கள் வாழ்வு உயரும்இதுதான் மிகச் சிறந்தவலிHope_speech,1
Madan nee china ku support pantra maari thonuthunnnNeenga ellam itha pathi theriyanum na nnSIDDHU MOHAN nu oru you tube irukku athula detailed ah irukkumNon_hope_speech,1
Background மொக்கையா irrukuNon_hope_speech,1
Mg squadnotTamil,0
toilet papernotTamil,0
டேய் இது காத்துல பரவுதான்டாNon_hope_speech,1
Seekram one plus 8 pro review potunga romba naal waiting nee review potta than mob vanga mutiyum broNon_hope_speech,1
Sago nalla messageHope_speech,1
Entha app um en mob la ilaNon_hope_speech,1
Indiaku china nekkathu bro America mistake pannidiga 953Hope_speech,1
yen mg kaga wait kooda panna mattangalaHope_speech,1
Best video u ever madeHope_speech,1
I stopped seeing newsnotTamil,0
Bro tamilnadu college semester pathi konjam sollunga semester nadakkuma nadakkathaHope_speech,1
HiMadan please likeHope_speech,1
Bro uc turbo pathi video podunga issues pathiHope_speech,1
Anna yo WhatsAppadd GP WhatsAppuse pannalamavendamaNon_hope_speech,1
Mudinja China va world la irunthu ban panirungaNon_hope_speech,1
Anna fornite game use pnra mari yena yena phones iruku nu slunga na support pnra phone list plz broHope_speech,1
China dhan next super power nu Nostradamus predict pannaar laHope_speech,1
Bro onga video pathutu en vitla nenga epudi niruthama pesuringa nu keka rangaHope_speech,1
Anna share it alternative app sollungannaNon_hope_speech,1
Free fire enna broNon_hope_speech,1
Bro tik tok pathila tik kik irukku broHope_speech,1
Neenge sonnadhu apramavudhu ushar ayirundha rombo nalla irundhuku ippo india attack aychi fulla aychi rombo rombo kashtama iruku ippo irundhallu inimel avudhu Care aydunu thank youHope_speech,1
Voice not clearnotTamil,0
Chingari Sarakku Nalla sarakkuNon_hope_speech,1
Ithukum bodhidharmanukum enna similarityNon_hope_speech,1
Annaa ungalukku Li ziqi ya pidikumaa anaaNon_hope_speech,1
BEINGSHope_speech,1
Indha weTV app kuda Chinese app ahuninstall pannanumaNon_hope_speech,1
