comment_id,text,likeCount,publishedAt,text_clean,lang,label
UgzQKcZbRJK1jwPDb8l4AaABAg,Modi Gi 6-0 me aza Aya 😂😂😂,0,2025-10-13T02:17:46Z,Modi Gi 6-0 me aza Aya 😂😂😂,sw,not hope
UgzGKLVopssmCUweGJp4AaABAg,Agar aisi baat hai Na to jo bhi mobile mein video video ke kuchh paise nahin aane chahie agar main kya bol raha hun ki agar Teri jaanta itna hua hai to,0,2025-10-01T13:17:00Z,Agar aisi baat hai Na to jo bhi mobile mein video video ke kuchh paise nahin aane chahie agar main kya bol raha hun ki agar Teri jaanta itna hua hai to,id,not hope
UgxLDXGiJ0Nl69RHJbZ4AaABAg,Achcha to yah main kya bol raha hun ki jab aapko pata hai ki vah aatankwadi milte Hain to abhi bhi abhi Vivah se iska hata do na Apne jitne aadami hai tumhare vahan se FIR nahin ho sakta hai aisa kya,0,2025-10-01T13:15:56Z,Achcha to yah main kya bol raha hun ki jab aapko pata hai ki vah aatankwadi milte Hain to abhi bhi abhi Vivah se iska hata do na Apne jitne aadami hai tumhare vahan se FIR nahin ho sakta hai aisa kya,id,not hope
UgwNFUXczthOAGwtd_h4AaABAg,LAXMAN NAIDU DAUGHTER KILLED OWN BROTHER FOR PROPERTY IN MAHABALESHWAR HOTEL LAXMI MAHABALESHWAR 0:02 0:02,0,2025-09-30T12:22:16Z,LAXMAN NAIDU DAUGHTER KILLED OWN BROTHER FOR PROPERTY IN MAHABALESHWAR HOTEL LAXMI MAHABALESHWAR 0:02 0:02,de,not hope
UgzJBAYxKA177td2iOR4AaABAg,Sarkar ko chahiye hinduo ko hatyar issue karo apni suraksha ke liye,0,2025-09-27T18:16:38Z,Sarkar ko chahiye hinduo ko hatyar issue karo apni suraksha ke liye,sw,not hope
UgxVDxZ9LEsyYlfC2SJ4AaABAg,Seeking like a dog😂😂😂😂,0,2025-09-20T15:12:29Z,Seeking like a dog😂😂😂😂,af,not hope
UgwuC3ItJj96jGd99aZ4AaABAg,Tune hi to murder karwaya hai be  Modi  hijde ki Aulaad Ab baat palat Raha hai  mai sab thik kar dunga pulwama attack ka kya hua modi ne hi marwaya hai  400 kg RDX KAHA SE aya be  modi,0,2025-09-16T14:01:27Z,Tune hi to murder karwaya hai be Modi hijde ki Aulaad Ab baat palat Raha hai mai sab thik kar dunga pulwama attack ka kya hua modi ne hi marwaya hai 400 kg RDX KAHA SE aya be modi,id,not hope
UgwFMNyHvzHXt55a0dN4AaABAg,The Man who speaks and Did his Job very well....this is not Congress This is BJB.....,3,2025-09-15T14:25:45Z,The Man who speaks and Did his Job very well....this is not Congress This is BJB.....,en,not hope
UgxP5-RyEw8aChrBvEF4AaABAg,aarti sy over oven,0,2025-08-27T15:27:52Z,aarti sy over oven,no,not hope
UgxfZW1oGOsJjpW6pQl4AaABAg,29 amazing👍# butiy jmen Sibovile liy piprahi prvt inbya long en open the world ac rebeng jmen Sibovile liy,0,2025-08-27T15:27:11Z,29 amazing👍# butiy jmen Sibovile liy piprahi prvt inbya long en open the world ac rebeng jmen Sibovile liy,en,not hope
UgypZ8P0nYuE8dtjHkN4AaABAg,Mujhe India,0,2025-08-23T05:12:16Z,Mujhe India,id,not hope
UgwwrOQwDIYd8_6-zPR4AaABAg,Hamara Bharat ka beti ne mara beta maarta tha aur gand Lal ho jata Pakistan ka,0,2025-08-18T14:49:05Z,Hamara Bharat ka beti ne mara beta maarta tha aur gand Lal ho jata Pakistan ka,id,not hope
UgyE3Wpl2nUK2XzALnh4AaABAg,Teri dai 14 tu Desh ka mantri hai pradhanmantri hai hamara Bharat mein hinsa paida karke mara to jakar apna dahini choda tha Pakistan ko aur 50 border ko uda dena tha uska paar ka,0,2025-08-18T14:48:49Z,Teri dai 14 tu Desh ka mantri hai pradhanmantri hai hamara Bharat mein hinsa paida karke mara to jakar apna dahini choda tha Pakistan ko aur 50 border ko uda dena tha uska paar ka,id,not hope
Ugw37IqwXu_wcb8mAyh4AaABAg,Rejin. Reghu. Nya Sagai karanji. Ji. Rejin. Reghu. 🙏🙏🙏🙏🙏🙏🙏🙏🙏,0,2025-08-14T13:16:52Z,Rejin. Reghu. Nya Sagai karanji. Ji. Rejin. Reghu. 🙏🙏🙏🙏🙏🙏🙏🙏🙏,sw,not hope
